"Week 1","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Sep 5","8:20 pm","Baltimore Ravens","Kansas City Chiefs"
"Fri Sep 6","8:15 pm","Green Bay Packers","Philadelphia Eagles ¹"
"Sun Sep 8","1:00 pm","Arizona Cardinals","Buffalo Bills"
"","1:00 pm","Carolina Panthers","New Orleans Saints"
"","1:00 pm","Houston Texans","Indianapolis Colts"
"","1:00 pm","Jacksonville Jaguars","Miami Dolphins"
"","1:00 pm","Minnesota Vikings","New York Giants"
"","1:00 pm","New England Patriots","Cincinnati Bengals"
"","1:00 pm","Pittsburgh Steelers","Atlanta Falcons"
"","1:00 pm","Tennessee Titans","Chicago Bears"
"","4:05 pm","Denver Broncos","Seattle Seahawks"
"","4:05 pm","Las Vegas Raiders","Los Angeles Chargers"
"","4:25 pm","Dallas Cowboys","Cleveland Browns"
"","4:25 pm","Washington Commanders","Tampa Bay Buccaneers"
"","8:20 pm","Los Angeles Rams","Detroit Lions"
"Mon Sep 9","8:15 pm","New York Jets","San Francisco 49ers"
"¹ This game is being played in Brazil.","","",""
"Week 2","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Sep 12","8:15 pm","Buffalo Bills","Miami Dolphins"
"Sun Sep 15","1:00 pm","Cleveland Browns","Jacksonville Jaguars"
"","1:00 pm","Indianapolis Colts","Green Bay Packers"
"","1:00 pm","Las Vegas Raiders","Baltimore Ravens"
"","1:00 pm","Los Angeles Chargers","Carolina Panthers"
"","1:00 pm","New Orleans Saints","Dallas Cowboys"
"","1:00 pm","New York Giants","Washington Commanders"
"","1:00 pm","New York Jets","Tennessee Titans"
"","1:00 pm","San Francisco 49ers","Minnesota Vikings"
"","1:00 pm","Seattle Seahawks","New England Patriots"
"","1:00 pm","Tampa Bay Buccaneers","Detroit Lions"
"","4:05 pm","Los Angeles Rams","Arizona Cardinals"
"","4:25 pm","Cincinnati Bengals","Kansas City Chiefs"
"","4:25 pm","Pittsburgh Steelers","Denver Broncos"
"","8:20 pm","Chicago Bears","Houston Texans"
"Mon Sep 16","8:15 pm","Atlanta Falcons","Philadelphia Eagles"
