"Week 1","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Sep 4","8:20 pm","Dallas Cowboys","Philadelphia Eagles"
"Fri Sep 5","8:00 pm","Kansas City Chiefs","Los Angeles Chargers ¹"
"Sun Sep 7","1:00 pm","Arizona Cardinals","New Orleans Saints"
"","1:00 pm","Carolina Panthers","Jacksonville Jaguars"
"","1:00 pm","Cincinnati Bengals","Cleveland Browns"
"","1:00 pm","Las Vegas Raiders","New England Patriots"
"","1:00 pm","Miami Dolphins","Indianapolis Colts"
"","1:00 pm","New York Giants","Washington Commanders"
"","1:00 pm","Pittsburgh Steelers","New York Jets"
"","1:00 pm","Tampa Bay Buccaneers","Atlanta Falcons"
"","4:05 pm","San Francisco 49ers","Seattle Seahawks"
"","4:05 pm","Tennessee Titans","Denver Broncos"
"","4:25 pm","Detroit Lions","Green Bay Packers"
"","4:25 pm","Houston Texans","Los Angeles Rams"
"","8:20 pm","Baltimore Ravens","Buffalo Bills"
"Mon Sep 8","8:15 pm","Minnesota Vikings","Chicago Bears"
"¹ This game is being played in Brazil.","","",""
"Week 2","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Sep 11","8:15 pm","Washington Commanders","Green Bay Packers"
"Sun Sep 14","1:00 pm","Buffalo Bills","New York Jets"
"","1:00 pm","Chicago Bears","Detroit Lions"
"","1:00 pm","Cleveland Browns","Baltimore Ravens"
"","1:00 pm","Jacksonville Jaguars","Cincinnati Bengals"
"","1:00 pm","Los Angeles Rams","Tennessee Titans"
"","1:00 pm","New England Patriots","Miami Dolphins"
"","1:00 pm","New York Giants","Dallas Cowboys"
"","1:00 pm","San Francisco 49ers","New Orleans Saints"
"","1:00 pm","Seattle Seahawks","Pittsburgh Steelers"
"","4:05 pm","Carolina Panthers","Arizona Cardinals"
"","4:05 pm","Denver Broncos","Indianapolis Colts"
"","4:25 pm","Philadelphia Eagles","Kansas City Chiefs"
"","8:20 pm","Atlanta Falcons","Minnesota Vikings"
"Mon Sep 15","7:00 pm","Tampa Bay Buccaneers","Houston Texans"
"","10:00 pm","Los Angeles Chargers","Las Vegas Raiders"
"Week 3","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Sep 18","8:15 pm","Miami Dolphins","Buffalo Bills"
"Sun Sep 21","1:00 pm","Atlanta Falcons","Carolina Panthers"
"","1:00 pm","Cincinnati Bengals","Minnesota Vikings"
"","1:00 pm","Green Bay Packers","Cleveland Browns"
"","1:00 pm","Houston Texans","Jacksonville Jaguars"
"","1:00 pm","Indianapolis Colts","Tennessee Titans"
"","1:00 pm","Las Vegas Raiders","Washington Commanders"
"","1:00 pm","Los Angeles Rams","Philadelphia Eagles"
"","1:00 pm","New York Jets","Tampa Bay Buccaneers"
"","1:00 pm","Pittsburgh Steelers","New England Patriots"
"","4:05 pm","Denver Broncos","Los Angeles Chargers"
"","4:05 pm","New Orleans Saints","Seattle Seahawks"
"","4:25 pm","Arizona Cardinals","San Francisco 49ers"
"","4:25 pm","Dallas Cowboys","Chicago Bears"
